Date,COLD,EGP,FR,ILPT,LINE,LXP,PLD,PLYM,REXR,SPY,STAG,TRNO,VNQ
2019-08-07,27.255615234375,100.23648071289062,31.78800392150879,16.99057388305664,,36.099796295166016,67.35314178466797,13.14400577545166,34.670989990234375,261.3870849609375,22.145368576049805,41.227813720703125,69.92131805419922
2019-08-08,27.75438117980957,102.0037841796875,32.52216720581055,17.19875144958496,,37.49106216430664,68.75038146972656,12.871072769165039,35.342262268066406,266.5155334472656,22.578840255737305,41.96297073364258,71.14936828613281
2019-08-09,28.454280853271484,101.75372314453125,32.4208984375,17.0466251373291,,37.60090255737305,68.46590423583984,12.598136901855469,35.2667350769043,264.7001037597656,22.48758316040039,41.87002182006836,71.0633316040039
2019-08-12,28.518634796142578,101.47860717773438,32.18461990356445,17.030609130859375,,37.56429672241211,68.3487777709961,13.014720916748047,35.03180694580078,261.4777526855469,22.168184280395508,41.633419036865234,70.8756103515625
2019-08-13,28.50255012512207,102.36225128173828,32.46309280395508,17.038619995117188,,37.674129486083984,68.45752716064453,13.345122337341309,35.4345703125,265.5442199707031,22.305068969726562,41.946067810058594,70.97728729248047
2019-08-14,28.148574829101562,101.59529113769531,31.804885864257812,16.822433471679688,,37.637516021728516,67.15231323242188,13.20865535736084,35.30031204223633,257.6928405761719,21.917219161987305,41.878475189208984,69.8978500366211
2019-08-15,28.478408813476562,102.4039306640625,31.872398376464844,16.822433471679688,,38.07686233520508,67.9471435546875,13.28765869140625,35.92961502075195,258.3736267089844,22.114953994750977,42.28407287597656,70.5940170288086
2019-08-16,28.90478515625,103.99617004394531,32.56435775756836,17.022600173950195,,38.589439392089844,68.9344482421875,13.28765869140625,36.50020217895508,262.1858825683594,22.396329879760742,42.90092468261719,71.32146453857422
2019-08-19,29.202442169189453,104.1212387084961,32.77531814575195,17.102676391601562,,38.84572219848633,70.16438293457031,13.40976619720459,36.735145568847656,265.3445129394531,22.426748275756836,43.00233840942383,71.83770751953125
2019-08-20,28.993274688720703,102.22054290771484,32.25213623046875,16.95054054260254,,38.47959899902344,68.98465728759766,13.352302551269531,36.29042434692383,263.3114013671875,22.152971267700195,42.70657730102539,71.32929229736328
2019-08-21,29.178306579589844,102.72906494140625,32.71623992919922,17.102676391601562,,38.44298553466797,69.69583892822266,13.416943550109863,36.29042434692383,265.45343017578125,22.130151748657227,42.647430419921875,71.62653350830078
2019-08-22,29.500097274780273,103.37093353271484,32.91877365112305,17.12669563293457,,38.69927215576172,70.27315521240234,13.58214282989502,36.6512336730957,265.3717956542969,22.145368576049805,42.83332824707031,71.9550552368164
2019-08-23,29.28289031982422,101.92040252685547,32.20149230957031,16.702327728271484,,38.07686233520508,68.51612091064453,13.467219352722168,35.795379638671875,258.5550842285156,21.331649780273438,42.013671875,70.94598388671875
2019-08-26,29.339202880859375,102.26222229003906,32.750003814697266,16.83844566345215,,38.150081634521484,69.13524627685547,13.503134727478027,36.323997497558594,261.4142761230469,21.658653259277344,42.36857604980469,71.49354553222656
2019-08-27,29.073720932006836,101.4952621459961,32.4884147644043,16.718338012695312,,37.783958435058594,68.61650085449219,13.40976619720459,36.089054107666016,260.3885498046875,21.536972045898438,42.19957733154297,71.2901611328125
2019-08-28,29.089807510375977,102.21220397949219,32.62343215942383,17.118680953979492,,37.89379119873047,69.31095886230469,13.48877239227295,36.349159240722656,262.22216796875,21.81075668334961,42.33476638793945,71.52481842041016
2019-08-29,29.097854614257812,103.33760833740234,33.00315856933594,17.07064437866211,,38.11346435546875,70.04724884033203,13.539046287536621,36.911354064941406,265.5714111328125,22.26818084716797,42.6981201171875,72.08019256591797
2019-08-30,29.298969268798828,103.804443359375,32.86814880371094,17.12669563293457,,38.04024887084961,69.96358489990234,13.402576446533203,37.079166412353516,265.45343017578125,22.207096099853516,42.72348403930664,72.13495635986328
2019-09-03,29.74947738647461,104.62142181396484,33.00315856933594,17.222774505615234,,38.44298553466797,70.75840759277344,13.431309700012207,36.911354064941406,263.9012756347656,22.275819778442383,42.78262710571289,72.8545913696289
2019-09-04,30.031047821044922,105.2883071899414,33.18881607055664,17.535045623779297,,38.296531677246094,71.42776489257812,13.503134727478027,37.21342849731445,266.8966979980469,22.39036750793457,43.103729248046875,73.4646987915039
2019-09-05,29.886247634887695,104.99652862548828,33.0706672668457,17.366897583007812,,35.88011932373047,70.77515411376953,13.431309700012207,37.188255310058594,270.3277282714844,22.19945526123047,43.103729248046875,72.93281555175781
2019-09-06,29.636856079101562,104.64640808105469,32.750003814697266,17.342878341674805,,36.429317474365234,70.94248962402344,13.39539623260498,36.928131103515625,270.5364990234375,22.21473503112793,43.06147766113281,73.09707641601562
2019-09-09,29.379423141479492,103.91282653808594,32.4884147644043,17.446969985961914,,36.429317474365234,70.80862426757812,13.373851776123047,37.154685974121094,270.6727294921875,22.06199836730957,43.07837677001953,72.7450942993164
2019-09-10,28.582992553710938,102.44563293457031,32.53059387207031,17.454973220825195,,36.612361907958984,69.67073822021484,13.352302551269531,36.24847412109375,270.6091003417969,22.153635025024414,41.793968200683594,71.9941635131836
2019-09-11,28.3175106048584,102.68736267089844,32.505287170410156,17.583087921142578,,36.832035064697266,69.01813507080078,13.352302551269531,36.38273620605469,272.5334777832031,22.61946678161621,41.69257736206055,72.07237243652344
2019-09-12,28.679529190063477,104.67143249511719,32.93566131591797,17.6151065826416,,36.941871643066406,70.31498718261719,13.30920696258545,36.83582305908203,273.47747802734375,22.527822494506836,42.65587615966797,72.4556655883789
2019-09-13,28.365779876708984,104.42134857177734,32.724693298339844,17.599098205566406,,36.978485107421875,70.44048309326172,13.230198860168457,36.89457702636719,273.2958984375,22.672916412353516,42.51222229003906,71.68128967285156
2019-09-16,29.081768035888672,104.85484313964844,33.0706672668457,17.591089248657227,,37.4544563293457,71.3022689819336,13.28765869140625,37.33090591430664,272.4518127441406,22.734018325805664,43.21357727050781,72.30705261230469
2019-09-17,29.331151962280273,105.79684448242188,33.264747619628906,17.495010375976562,,37.674129486083984,72.32300567626953,13.337935447692871,37.3812370300293,273.14154052734375,22.711101531982422,43.314979553222656,73.0892333984375
2019-09-18,28.824331283569336,105.25496673583984,33.011600494384766,17.366897583007812,,37.674129486083984,71.60346221923828,13.373851776123047,36.902957916259766,273.3050231933594,22.718734741210938,42.605167388916016,72.83895874023438
2019-09-19,29.484010696411133,105.38002014160156,33.23100280761719,17.374906539916992,,38.00364303588867,71.57823181152344,13.431309700012207,37.21342849731445,273.2868347167969,22.9249210357666,42.89247512817383,73.09707641601562
2019-09-20,29.652944564819336,105.96356201171875,33.399776458740234,17.551054000854492,,37.93040466308594,71.01415252685547,13.761707305908203,37.020423889160156,271.99566650390625,22.87911033630371,43.32341766357422,73.09707641601562
2019-09-23,29.427696228027344,105.58843994140625,33.54322814941406,17.454973220825195,,38.04024887084961,71.24147033691406,14.113646507263184,37.28894805908203,271.93182373046875,23.062387466430664,43.53468704223633,73.21439361572266
2019-09-24,29.202442169189453,104.79647827148438,33.32382583618164,17.29483413696289,,37.60090255737305,70.90471649169922,14.00590991973877,36.8777961730957,269.7979736328125,22.680553436279297,42.90092468261719,73.05197143554688
2019-09-25,29.693157196044922,104.85484313964844,33.58542251586914,17.030609130859375,,37.56429672241211,71.65401458740234,13.905357360839844,36.83582305908203,271.3937683105469,22.34455108642578,42.93472671508789,73.19390106201172
2019-09-26,29.76557159423828,105.60509490966797,33.813255310058594,17.15070915222168,,38.00364303588867,72.63057708740234,13.122461318969727,37.33928680419922,270.8283996582031,22.81801414489746,43.509334564208984,73.80892181396484
2019-09-27,29.765575408935547,104.8251953125,33.60107421875,17.002582550048828,,37.71889114379883,72.21807861328125,13.33145809173584,37.07386779785156,269.3694152832031,22.502893447875977,43.314979553222656,73.39888763427734
2019-09-30,29.983957290649414,104.84197235107422,33.575626373291016,17.01459503173828,,37.9037971496582,71.7466049194336,13.434113502502441,37.090728759765625,270.61865234375,22.602571487426758,43.17133331298828,73.52506256103516
2019-10-01,29.927339553833008,103.52536010742188,33.17671203613281,17.030609130859375,,37.60795974731445,70.92996978759766,13.192120552062988,37.09915542602539,267.3996887207031,22.58724021911621,42.87557601928711,72.83121490478516
2019-10-02,29.717037200927734,104.07884216308594,33.31250762939453,16.926523208618164,,37.57097244262695,70.92996978759766,13.111461639404297,37.377201080322266,262.67620849609375,22.679243087768555,43.247379302978516,72.52368927001953
2019-10-03,30.380290985107422,105.30321502685547,33.71989822387695,16.99057388305664,,38.273590087890625,71.99076843261719,13.360785484313965,37.49516296386719,264.8282775878906,22.832584381103516,43.51921081542969,73.2254409790039
2019-10-04,30.445005416870117,105.76443481445312,33.76234436035156,17.278820037841797,,38.45848083496094,72.5632553100586,13.045467376708984,37.57941818237305,268.4118957519531,23.162267684936523,43.79104995727539,73.6669921875
2019-10-07,30.542057037353516,106.38501739501953,33.95754623413086,17.19074249267578,,38.08868408203125,72.20124053955078,13.558780670166016,37.865909576416016,267.2538146972656,23.077930450439453,44.079872131347656,73.50928497314453
2019-10-08,30.315584182739258,105.44574737548828,33.6180534362793,17.12669563293457,,38.16265106201172,71.67922973632812,13.529443740844727,37.705814361572266,263.10479736328125,23.108596801757812,44.31772994995117,73.12293243408203
2019-10-09,30.30750846862793,105.31996154785156,33.56712341308594,17.110681533813477,,38.347537994384766,71.97391510009766,13.529443740844727,37.55414581298828,265.6033630371094,23.116260528564453,44.334712982177734,73.26485443115234
2019-10-10,30.2427921295166,105.46253204345703,33.55015182495117,17.01459503173828,,38.75432205200195,72.24331665039062,13.610109329223633,37.924888610839844,267.3996887207031,23.085594177246094,44.725494384765625,73.38313293457031
2019-10-11,30.169998168945312,105.83991241455078,33.66897964477539,16.982568740844727,,38.75432205200195,72.2685775756836,13.756768226623535,38.29561996459961,270.17181396484375,23.18526268005371,44.83591079711914,73.35159301757812
2019-10-14,30.234699249267578,106.3598403930664,33.64351272583008,16.934524536132812,,38.71733474731445,72.62216186523438,13.676104545593262,38.4135856628418,269.87091064453125,23.15459632873535,44.86140441894531,73.38313293457031
2019-10-15,30.331764221191406,106.16697692871094,33.813255310058594,17.006587982177734,,38.82828140258789,75.02157592773438,13.8154296875,38.49784469604492,272.54266357421875,23.15459632873535,44.801937103271484,73.47774505615234
